               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.029526,           0.0067807,                   0,             0.96895,             0.89809,             0.93857,             0.63459,            0.025289,           0.0046549,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.031602,             0.00661,                   0,             0.97536,             0.88535,             0.93294,             0.53133,            0.030001,           0.0047932,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.029723,           0.0069725,                   0,              0.9654,             0.88846,             0.94028,             0.62474,            0.025885,           0.0046857,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.028723,           0.0064308,                   0,             0.96885,              0.8949,             0.93929,             0.62506,            0.024761,           0.0046284,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.028909,           0.0064623,                   0,             0.93956,             0.89172,             0.93192,             0.59291,            0.025852,            0.004691,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.030151,           0.0065308,                   0,             0.95238,             0.89171,             0.93461,             0.62128,            0.025291,           0.0045776,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.029568,            0.005941,                   0,             0.96213,             0.89172,             0.93725,             0.64628,            0.024708,           0.0045755,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.028261,           0.0063693,                   0,             0.96515,             0.88206,             0.93113,             0.62772,            0.025708,           0.0045644,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.027881,           0.0061428,                   0,             0.98239,             0.88854,             0.94045,             0.63927,            0.024488,           0.0045104,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.027847,           0.0063006,                   0,             0.97902,              0.8916,             0.93152,             0.62913,            0.024635,           0.0045407,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.025979,           0.0061234,                   0,             0.96539,             0.88854,              0.9327,             0.62898,            0.023195,           0.0044401,                   0,            0.005347,            0.005347,            0.005347
                  49,             0.02761,           0.0066197,                   0,             0.96555,              0.8949,             0.93332,             0.61549,            0.024789,           0.0044126,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.026838,           0.0059794,                   0,             0.97532,             0.88535,             0.93781,             0.62688,            0.025224,           0.0044614,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.027729,           0.0061055,                   0,             0.97865,             0.87898,             0.93306,             0.55547,            0.028301,           0.0045919,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.027287,           0.0061968,                   0,             0.98239,             0.88848,             0.93761,             0.66084,            0.022404,           0.0044673,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.025074,           0.0063998,                   0,             0.97582,             0.90127,             0.94118,             0.66154,            0.022242,           0.0043821,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.025985,           0.0061058,                   0,             0.96621,             0.91078,             0.94247,             0.67992,            0.021729,           0.0043873,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.026611,           0.0060031,                   0,             0.96937,             0.90764,             0.94679,             0.66118,             0.02273,           0.0044569,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.024478,           0.0058604,                   0,             0.98601,             0.89808,             0.94894,             0.64668,            0.022997,           0.0044173,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.025244,           0.0060847,                   0,             0.98942,             0.89809,             0.94638,             0.66462,            0.021992,           0.0043135,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.024951,           0.0056453,                   0,             0.98223,             0.88535,             0.94293,             0.61254,            0.023499,           0.0043724,                   0,            0.004357,            0.004357,            0.004357
                  59,             0.02518,           0.0057563,                   0,             0.96907,             0.89808,              0.9454,             0.61922,            0.023639,           0.0043972,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.026966,           0.0058347,                   0,             0.96875,             0.88849,             0.94216,             0.66984,            0.021052,           0.0043617,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.024278,           0.0060833,                   0,              0.9625,             0.90127,             0.94517,               0.677,            0.021181,           0.0043188,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.023683,           0.0056438,                   0,             0.97227,              0.8949,             0.94678,             0.69053,            0.020604,           0.0042733,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.023973,           0.0057476,                   0,             0.96942,             0.91083,             0.94936,             0.69526,            0.021021,           0.0042688,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.023084,           0.0056749,                   0,             0.97611,             0.91071,             0.95237,             0.68887,            0.021129,           0.0042139,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.023284,            0.005576,                   0,             0.96959,             0.91396,             0.94831,             0.66384,            0.022574,           0.0042117,                   0,            0.003664,            0.003664,            0.003664
